#,선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
199,홍성무,KT,0,1,0,0,0,7,0,6.1,5.68,8.53,1.42,0.435,51.3,12.79,-0.29,7.37,7.58,-0.11
200,보우덴,두산,3,5,0,0,0,17,17,87.1,5.26,3.92,1.55,0.272,77,4.64,1.93,6.31,6.52,-0.11
201,송은범,한화,0,4,1,0,1,13,6,37.1,3.62,5.54,0.96,0.315,62.7,6.51,0.1,6.33,6.79,-0.12
202,정재원,한화,0,2,0,1,1,14,0,21,3.86,4.71,0,0.315,69.2,3.43,0.12,5.16,5.73,-0.12
203,김민우,한화,0,0,0,0,0,4,2,7.1,6.14,7.36,1.23,0.613,50.7,17.18,-0.52,7.83,8.32,-0.12
204,오윤성,Hero,0,1,0,0,0,6,0,7.2,4.7,10.57,0,0.321,47.4,11.74,-0.33,6.6,7.12,-0.13
205,박주현,Hero,0,0,0,0,0,2,0,2.1,0,11.57,3.86,0.533,28.3,34.71,-0.48,13.16,14.05,-0.13
206,이현호,두산,1,0,0,0,0,24,2,30,5.7,4.2,1.8,0.389,65.3,5.7,-0.51,6.47,6.57,-0.16
207,권혁,한화,1,3,0,11,1,37,0,31.1,4.88,2.59,1.72,0.311,67.3,6.32,0.04,6.48,6.78,-0.16
208,배힘찬,KIA,0,1,0,0,0,2,1,3.1,10.8,0,8.1,0.643,12.8,29.7,-0.46,13.03,12.32,-0.16
209,배제성,KT,0,0,0,0,0,21,1,32,5.91,6.47,1.12,0.378,59.6,8.72,-0.1,6.39,6.59,-0.17
210,홍상삼,두산,1,1,0,0,0,11,2,17,3.71,5.82,1.06,0.3,53,7.94,-0.52,6.73,7.22,-0.18
211,이태양,한화,3,6,0,0,0,16,12,59,4.42,3.97,1.83,0.33,64.3,7.17,0.05,6.77,7.04,-0.18
212,김진우,KIA,2,6,0,0,1,14,8,36.1,5.2,5.7,1.24,0.376,65.3,7.93,-0.35,6.68,7.04,-0.19
213,이영하,두산,3,3,0,0,0,20,3,35.2,6.56,4.04,2.02,0.333,78.7,5.55,0.59,6.79,6.86,-0.19
214,김대우,삼성,2,5,0,1,0,25,7,50,5.04,4.68,1.26,0.362,51.5,9.54,-0.98,6.47,6.81,-0.19
215,최성영,NC,0,0,0,0,0,7,0,11.1,6.35,5.56,3.18,0.361,68.6,9.53,-0.26,9.29,9.48,-0.2
216,김동호,삼성,0,1,0,0,0,20,1,36,4,5.25,0.25,0.381,67,6.75,-0.07,5.46,5.96,-0.2
217,김윤동,KIA,7,4,11,6,6,65,1,80.1,7.39,5.27,1.12,0.267,75,4.59,1.89,5.54,5.53,-0.2
218,정인욱,삼성,1,4,0,0,0,9,7,32,7.59,3.94,2.53,0.359,52.5,9.84,-0.43,7.39,7.36,-0.2
219,송창식,한화,5,6,0,15,6,63,0,73.1,7.85,4.05,1.6,0.303,61,6.63,-0.74,5.68,5.59,-0.22
220,김광수,KIA,1,0,0,0,0,19,0,20.2,4.35,1.31,2.61,0.375,38.3,11.76,-0.95,7.41,7.71,-0.23
221,배재환,NC,0,1,0,0,0,3,1,8,4.5,6.75,4.5,0.346,82.1,9,-0.16,11.48,11.73,-0.23
222,이정민,롯데,3,1,0,2,1,24,0,26.2,3.71,2.7,1.69,0.307,71.4,5.4,0.19,6.47,6.83,-0.24
223,최동환,LG,1,2,1,5,2,35,0,38,7.34,3.55,2.13,0.273,71.1,5.68,-0.05,6.76,6.77,-0.24
224,이종혁,KT,2,0,0,0,0,16,0,19,4.74,4.74,1.42,0.324,67,6.63,-0.09,7.1,7.57,-0.25
225,홍성용,KT,0,2,0,1,0,37,1,39,5.08,3.92,1.62,0.294,68.3,6.23,0.25,6.4,6.63,-0.28
226,정대현,Hero,3,8,0,0,0,17,10,66.1,3.66,3.12,1.76,0.329,62.8,7.06,-0.03,6.6,6.95,-0.29
227,정영일,SK,0,0,0,0,0,9,0,8,2.25,6.75,3.38,0.281,47.3,10.12,-0.61,10.73,11.37,-0.3
228,김지용,LG,4,3,3,8,4,53,0,53,6.62,2.38,2.21,0.28,73.9,5.09,0.28,6.3,6.27,-0.38
229,최금강,NC,5,3,0,0,0,39,13,89.2,5.12,3.41,1.51,0.32,57.4,7.33,-0.27,6.31,6.58,-0.41
230,김범수,한화,0,4,0,0,0,15,5,31,4.65,6.97,2.03,0.34,66.4,8.71,-0.42,8.15,8.52,-0.42
231,이승현,삼성,2,0,0,0,0,30,0,31.2,7.11,6.25,2.56,0.276,81.9,5.12,0.31,8.03,8.03,-0.44
232,주권,KT,5,6,1,3,2,39,12,81.2,5.18,3.42,1.65,0.314,63.2,6.61,-0.02,6.33,6.54,-0.46
233,장민재,한화,2,5,0,0,2,33,5,62.2,4.31,3.3,1.58,0.355,56.9,7.76,-1.21,6.21,6.48,-0.47
234,하영민,Hero,1,1,0,1,1,28,2,45.1,4.57,5.96,0.99,0.306,76.7,4.76,0.52,6.07,6.37,-0.49
235,정용운,KIA,3,2,0,0,0,25,11,59.1,4.85,5.61,1.06,0.263,65.4,5.92,0.39,6.41,6.77,-0.49
236,레나도,삼성,2,3,0,0,0,11,11,49,5.14,4.96,2.02,0.349,65.1,6.8,-0.31,7.53,7.82,-0.54
237,노경은,롯데,0,2,0,0,0,9,2,14.2,4.91,4.91,2.45,0.382,52.8,11.66,-0.83,8.03,8.29,-0.61
238,김승현,삼성,0,3,0,1,0,41,0,43.2,7.63,7.01,1.44,0.341,73.9,5.77,-0.4,6.87,6.95,-0.7
239,류희운,KT,4,4,0,0,0,24,14,81,5.78,5.89,2,0.312,65.3,7.67,-0.68,7.6,7.81,-1.01
